institution_id,institution_name,city,state,institution_type
INS001,Aurora Institute of Technology,Hyderabad,Telangana,Private University
INS002,National School of Business,Bengaluru,Karnataka,Private Institution
INS003,Riverdale University,Chennai,Tamil Nadu,Private University
INS004,Deccan Institute of Management,Pune,Maharashtra,Private Institution
INS005,Eastern Tech University,Visakhapatnam,Andhra Pradesh,Private University
INS006,Metro College of Engineering,Hyderabad,Telangana,Private College
INS007,Summit University,Delhi,Delhi,Private University
INS008,Greenfield Institute,Kochi,Kerala,Private Institution
INS009,Pioneer Business School,Mumbai,Maharashtra,Private Institution
INS010,Horizon University,Jaipur,Rajasthan,Private University
INS011,Coastal School of Technology,Mangaluru,Karnataka,Private College
INS012,Central Institute of Data Science,Hyderabad,Telangana,Private Institution
